Camp name,Place (today),Country (today),Camp type,Dates of use,Est. prisoners,Est. deaths
Alderney,Alderney,Channel Islands,Labour camps,Jan 1942 – Jun 1944,"6,000",700
Amersfoort,Amersfoort,Netherlands,Transit camp and prison,Aug 1941 – Apr 1945,"35,000","1,000"
Arbeitsdorf,Wolfsburg,Germany,Labour camp,8 Apr 1942 – 11 Oct 1942,,600
Auschwitz I, Oświęcim, Poland, Labour camp,,,,
Auschwitz III (Monowitz), Oświęcim, Poland, Labour camp,,,,
Banjica,Banjica,Serbia,Concentration camp,Jun 1941 – Sep 1944,"23,637","3,849"
Bardufoss,Bardufoss,Norway,Concentration camp,Mar 1944 – ????,800,250
Bergen-Belsen,Bergen-Belsen,Germany,Concentration camp,Apr 1943 – Apr 1945,"120,000","52,000"
Berlin-Marzahn,Berlin-Marzahn,Germany,"Early a ""rest place"" then labour camp for Roma",July 1936 – ????,,
Bernburg,Bernburg,Germany,Collection point,Apr 1942 – Apr 1945,,"14,385"
Bogdanovka,Bogdanovka,Ukraine,Concentration camp,1941,"54,000","40,000"
Bolzano,Bolzano,Italy,Transit,Jul 1944 – Apr 1945,"11,116",
Bor,Bor,Serbia,Labour camp,July 1943 – September 1944,"6,000","2,800"
Bredtvet,Bredtvet,Norway,Concentration camp,"Fall, 1941 – May, 1944","1,000",
Breendonk,Breendonk,Belgium,Prison and labour camp,20 Sep 1940 – Sep 1944,3532,391
Breitenau,Breitenau,Germany,"""Early wild camp"", then labour camp","Jun 1933 – Mar 1934, 1940–1945",8500,
Buchenwald,Buchenwald,Germany,Concentration camp,Jul 1937 – Apr 1945,"266,000","56,545"
Crveni krst,Crveni krst,Serbia,Concentration camp,1941–1944,"30,000","10,000"
Dachau,Dachau,Germany,Concentration camp,Mar 1933 – Apr 1945,"200,000","31,591"
Drancy,Drancy,France,"Internment camp, transit",20 Aug 1941 – 17 Aug 1944,"70,000",
Falstad,Falstad,Norway,Prison camp,Dec 1941 – May 1945,,200
Flossenbürg,Flossenbürg,Germany,Concentration camp,May 1938 – Apr 1945,"96,000","30,000"
Fort de Romainville,Romainville,France,Prison and transit camp,1940 – Aug 1944,"8,100",200
Fort VII (Posen),Poznan,Poland,"Concentration, detention, transit",Oct 1939 – Apr 1944,"18,000","4,500"
Fossoli,Fossoli,Italy,Prison and transit camp,5 Dec 1943 – Nov 1944,"2,800",
Grini,Grini,Norway,Prison camp,2 May 1941 – May 1945,"19,788",8
Gross-Rosen,Gross-Rosen,Poland,Labour camp / Nacht und Nebel camp,Aug 1940 – Feb 1945,"125,000","40,000"
Herzogenbusch,Vught,Netherlands,Concentration camp,1943 – Summer 1944,"31,000",750
Hinzert,Hinzert,Germany,Collection point and subcamp,Jul 1940 – Mar 1945,"14,000",302
Jägala,Jägala,Estonia,Labour camp,Aug 1942 – Aug 1943,200,"3,000"
Janowska,Lviv,Ukraine,"Ghetto, transit, labour, & extermination camp",Sep 1941 – Nov 1943,,"40,000"
Kaiserwald,Mežaparks,Latvia,Concentration camp,1942 – 6 Aug 1944,"20,000",
Kaufering/Landsberg,Kaufering,Germany,Concentration camp,Jun 1943 – Apr 1945,"30,000","14,500"
Kauen,Kaunas,Lithuania,Ghetto and internment camp,"June 22, 1941 - August 1, 1944",,
Kemna,Kemna,Germany,Early concentration camp,Jun 1933 – Jan 1944,"4,500",
Kistarcsa,Kistarcsa,Hungary,Concentration camp,1944 – 1945,,"1,800"
Klooga,Klooga,Estonia,Labour camp,Summer 1943 – 28 Sep 1944,,"1,800"
Koldichevo,Koldichevo,Belarus,Labour camp,Summer 1942 – Jun 1944,,"22,000"
Le Vernet,Le Vernet,France,Internment camp,1939–1944,,
Malchow,Malchow,Germany,Concentration and Transit camp,Winter 1943 – 8 May 1945,"5,000",
Mauthausen-Gusen,Mauthausen-Gusen,Austria,Concentration camp,Aug 1938 – May 1945,"195,000","60,000"
Mechelen,Mechelen,Belgium,Transit camp,July 1942 – Sep 1944,25267,300
Mittelbau-Dora,Nordhausen,Germany,Concentration camp,Sep 1943 – Apr 1945,"60,000","20,000"
Natzweiler-Struthof,Natzwiller,France,Concentration camp / Nacht und Nebel camp / extermination camp,May 1941 – Sep 1944,"52,000","22,000"
Neuengamme,Neuengamme,Germany,Concentration camp,13 Dec 1938 – 4 May 1945,"106,000","42,900"
Niederhagen,Niederhagen,Germany,Concentration and labour camp,Sep 1941 – early 1943,"3,900","1,285"
Oberer Kuhberg concentration camp (de),Ulm,Germany,Concentration camp,Nov 1933 – 1935,,0
Oranienburg,Oranienburg,Germany,Early concentration camp,Mar 1933 – Jul 1934,"3,000",16
